Second,Ino,Transactions
54,31612,6
54,1251146,1334
54,1251148,6
54,8388611,3
55,1811938,45415
55,1251146,2665
55,1251148,12
55,31612,6
56,1811938,42347
56,31612,6
56,1251146,1334
56,1251148,6
57,1811938,44827
57,31612,6
57,1251146,2665
57,1251148,12
57,1811931,3
57,1811939,3
57,1811940,3
57,1811941,3
58,1811938,41847
58,31612,6
58,1251146,1334
58,1251148,6
59,1811938,41432
59,31612,6
59,1251146,1334
59,1251148,6
59,8388611,1
60,1811938,42222
60,31612,6
60,1251146,1334
60,1251148,6
61,1811938,43082
61,31612,6
61,1251146,2668
61,1251148,20
62,1811938,40892
62,31612,6
62,1251146,1334
62,1251148,6
63,1811938,40102
63,31612,6
63,1251146,1334
63,1251148,6
64,1811938,36938
64,31612,6
64,1251146,1334
64,1251148,6
64,1251152,1400
64,1251155,6
64,8388611,18
65,1811938,37920
65,31612,6
65,1251146,1331
65,1251148,6
66,1811938,36745
66,1251146,2668
66,1251148,12
66,31612,6
66,1251152,3
66,1251155,3
67,1811938,37258
67,31612,6
67,1251146,1337
67,1251148,6
68,1811938,38265
68,31612,6
68,1251146,1331
68,1251148,6
69,1811938,38707
69,31612,6
69,1251146,1331
69,1251148,6
70,1811938,42697
70,31612,6
70,1251146,1334
70,1251148,6
71,1811938,41497
71,31612,6
71,1251146,2665
71,1251148,12
72,1811938,43777
72,31612,6
72,1251146,1331
72,1251148,6
73,1811938,31329
73,34128,192
73,31612,6
73,1251146,1331
73,1251148,6
73,1811931,8
73,1811934,2419
73,1811935,6898
74,1811935,23485
74,1811934,25474
74,31612,6
74,1251152,1373
74,1251155,8
74,8388611,12
74,1811931,20
74,1811940,8
74,1811938,12
74,1251146,1334
74,1251148,6
75,1811934,27534
75,31612,6
75,1251146,1334
75,1251148,6
76,1811934,28294
76,302462,3
76,31612,6
77,1811934,26269
77,1251146,1334
77,1251148,6
77,31612,6
78,1811934,26074
78,31612,6
78,1251146,1334
78,1251148,6
79,1811934,25322
79,31612,6
79,8388611,6
79,1251146,1334
79,1251148,6
80,1811934,26519
80,31612,6
80,1251146,1331
80,1251148,6
81,1811934,28766
81,31612,6
81,1251146,1334
81,1251148,6
82,1811934,29309
82,31612,6
83,1811934,26934
83,1251146,1331
83,1251148,6
83,31612,6
84,1811934,27694
84,31612,6
84,1251146,1334
84,1251148,6
85,1811934,28576
85,31612,6
85,1251146,1334
85,1251148,6
86,1811934,28484
86,31612,6
86,1251146,1331
86,1251148,6
87,1811934,29116
87,31612,6
87,1251146,1334
87,1251148,6
88,1811934,25477
88,31612,6
88,1251146,1334
88,1251148,6
89,1811934,27789
89,31612,6
90,1811934,26041
90,31612,6
90,1251146,1334
90,1251148,6
91,1811934,27580
91,31612,6
91,1251146,1331
91,1251148,6
91,1251152,1352
91,1251155,6
92,1811934,27564
92,31612,6
92,1251146,1337
92,1251148,11
93,1811934,27590
93,31612,6
93,1251146,1331
93,1251148,6
94,1811934,27914
94,31612,6
95,1811934,28329
95,1251146,1331
95,1251148,6
95,31612,6
95,8388611,1
96,1811934,28861
96,31612,6
96,1251146,1331
96,1251148,6
97,1811934,27596
97,31612,6
97,1251146,1334
97,1251148,6
98,1811934,28076
98,31612,6
98,1251146,1331
98,1251148,6
98,1811931,3
98,1811935,3
98,1811940,3
99,1811934,28009
99,31612,6
99,8388611,8
99,1251146,1331
99,1251148,6
100,1811934,29906
100,31612,6
100,1251146,1331
100,1251148,6
101,1811934,27379
101,31612,6
101,1251146,1331
101,1251148,6
102,1811934,27564
102,31612,6
103,1811934,29452
103,31612,6
103,1251146,1331
103,1251148,6
104,1811934,27928
104,31612,6
104,1251146,1334
104,1251148,6
104,302287,5
104,8388611,20
104,301013,3
105,1811934,28226
105,31612,6
105,1251146,1331
105,1251148,6
106,1811934,30924
106,31612,6
106,1251146,1331
106,1251148,11
107,1811934,31078
107,31612,6
107,1251152,3
107,1251155,3
107,1251146,1331
107,1251148,6
108,1811934,30802
108,31612,6
108,1251146,1331
108,1251148,6
109,1811934,29054
109,31612,6
109,1251146,1334
109,1251148,6
110,1811934,28736
110,31612,6
110,1251146,1331
110,1251148,6
111,1811934,30012
111,31612,6
111,1251146,1331
111,1251148,6
112,1811934,29933
112,31612,6
113,1811934,29727
113,31612,6
113,1251146,1334
113,1251148,6
114,1811934,29583
114,31612,6
114,1251146,1331
114,1251148,6
115,1811934,27922
115,31612,6
115,1251146,1331
115,1251148,6
116,1811934,29054
116,31612,6
116,1251146,1331
116,1251148,6
117,1811934,28291
117,31612,6
117,1251146,1331
117,1251148,6
118,1811934,31936
118,31612,6
118,1251146,1331
118,1251148,6
118,1251152,1337
118,1251155,8
119,1811934,28745
119,31612,6
119,8388611,4
119,1251146,1334
119,1251148,6
120,1811934,29051
120,31612,6
120,1251146,1331
120,1251148,6
121,1811934,30161
121,31612,6
122,1811934,32571
122,31612,6
122,1251146,1337
122,1251148,12
123,1811934,28258
123,31612,6
123,1251146,1331
123,1251148,8
124,1811934,28178
124,31612,6
124,1251146,1334
124,1251148,6
125,1811934,5185
125,31612,6
125,1811931,23
125,1811936,20648
125,1811938,30398
125,1251146,1343
125,1251148,6
125,8388611,10
125,1811940,8
125,1251152,1337
125,1251155,6
126,1811936,22972
126,31612,6
126,1251146,1334
126,1251148,6
127,1811936,23707
127,31612,6
128,1811936,21550
128,1251146,1334
128,1251148,6
128,31612,6
129,1811936,22912
129,31612,6
129,1251146,1334
129,1251148,6
130,1811936,21802
130,8388611,29
130,31612,6
131,1811936,22722
131,31612,6
131,1251146,1334
131,1251148,6
132,1811936,21965
132,31612,6
132,1251146,1334
132,1251148,6
133,1811936,21452
133,31612,6
134,1811936,21520
134,31612,6
134,1251146,1331
134,1251148,6
135,1811936,21962
135,31612,6
135,302287,3
135,1251146,1334
135,1251148,6
136,1811936,22372
136,31612,6
137,1811936,22277
137,1251146,1334
137,1251148,6
137,31612,6
138,1811936,22440
138,31612,6
138,1251146,1331
138,1251148,6
139,1811936,22087
139,31612,6
140,1811936,22247
140,1251146,1331
140,1251148,6
140,31612,6
141,1811936,22627
141,31612,6
141,1251146,1331
141,1251148,6
142,1811936,23007
142,31612,6
142,1251146,1334
142,1251148,6
143,1811936,22215
143,31612,6
144,1811936,20662
144,31612,6
144,1251146,1331
144,1251148,6
145,1811936,22090
145,31612,6
146,1811936,21772
146,1251146,1334
146,1251148,6
146,31612,6
147,1811936,23607
147,31612,6
147,1251146,1334
147,1251148,6
148,1811936,22657
148,31612,6
148,1251146,1334
148,1251148,6
149,1811936,22694
149,31612,6
149,1811931,3
149,1811938,3
149,1811940,3
150,1811936,21900
150,31612,6
150,1251146,1331
150,1251148,6
151,1811936,22502
151,31612,6
151,1251146,1334
151,1251148,6
152,1811936,21639
152,31612,6
153,1811936,21710
153,31612,6
153,1251146,1334
153,1251148,9
153,1251152,3
153,1251155,3
154,1811936,21134
154,31612,6
154,1251146,1334
154,1251148,8
154,302462,5
154,8388611,2
155,1811936,21327
155,31612,6
156,1811936,21514
156,31612,6
156,1251146,1331
156,1251148,6
157,1811936,21582
157,31612,6
157,1251146,1334
157,1251148,6
157,1251152,1334
157,1251155,8
158,1811936,23577
158,31612,6
159,1811936,22209
159,31612,6
159,1251146,1331
159,1251148,6
160,1811936,23336
160,31612,6
160,1251146,1334
160,1251148,6
161,1811936,24619
161,31612,6
161,8388611,1
162,1811936,20505
162,31612,6
162,1251146,1334
162,1251148,6
163,1811936,22467
163,31612,6
163,1251146,1334
163,1251148,6
164,1811936,21959
164,31612,6
164,8388611,8
165,1811936,22024
165,31612,6
165,1251146,1331
165,1251148,6
166,1811936,22315
166,31612,6
166,1251146,1334
166,1251148,6
167,1811936,23859
167,31612,6
168,1811936,25346
168,1251146,1331
168,1251148,6
168,31612,6
169,1811936,24524
169,31612,6
169,1251146,1331
169,1251148,6
170,1811936,24691
170,31612,6
170,1251146,1331
170,1251148,6
171,1811936,27086
171,31612,6
171,1251146,1331
171,1251148,6
172,1811936,26994
172,31612,6
173,1811936,23419
173,31612,6
173,1251146,1334
173,1251148,6
174,1811936,23574
174,31612,6
174,1251146,1331
174,1251148,6
175,1811936,24999
175,31612,6
176,1811936,26774
176,1251146,1331
176,1251148,6
176,31612,6
177,1811936,26106
177,31612,6
177,1251146,1331
177,1251148,6
178,1811936,23919
178,31612,6
178,1251146,1334
178,1251148,6
179,1811936,24019
179,31612,6
179,1251146,1334
179,1251148,6
180,1811936,23259
180,31612,6
181,1811936,23257
181,31612,6
181,1251146,1334
181,1251148,6
182,1811936,24711
182,31612,6
182,1251146,1334
182,1251148,11
183,1811936,27344
183,31612,6
183,1251146,1331
183,1251148,6
184,1811936,26741
184,31612,6
184,8388611,2
185,1811936,26304
185,1251146,1334
185,1251148,12
185,31612,6
185,302462,3
186,1811936,24589
186,31612,6
186,1251146,1334
186,1251148,8
187,1811936,24747
187,31612,6
187,1251146,1334
187,1251148,6
188,1811936,7617
188,31612,6
188,1811931,31
188,1811934,11982
188,1811942,30418
188,1251152,2665
188,1251155,12
188,8388611,20
188,1811940,8
188,1811943,25705
189,1811934,28641
189,1811943,40188
189,31612,6
189,1251146,1331
189,1251148,6
189,1251152,1334
189,1251155,6
189,8388611,4
189,1811931,17
189,1811940,8
190,1811934,39687
190,31612,6
190,1251146,2662
190,1251148,12
190,1251152,3
190,1251155,3
191,1811934,38811
191,31612,6
191,1251146,1331
191,1251148,6
192,1811934,37786
192,31612,6
192,1251146,1337
192,1251148,6
193,1811934,37567
193,31612,6
193,1251146,1331
193,1251148,6
194,1811934,37847
194,31612,6
194,1251146,1334
194,1251148,6
195,1811934,36875
195,31612,6
195,1251146,1334
195,1251148,6
195,8388611,1
196,1811934,38030
196,31612,6
196,1251146,1331
196,1251148,6
196,1251152,1331
196,1251155,8
197,1811934,36925
197,1251146,2662
197,1251148,12
197,31612,6
198,1811934,33167
198,31612,6
198,1251146,1331
198,1251148,6
199,1811934,33311
199,31612,6
199,8388611,16
199,1251146,1334
199,1251148,6
200,1811934,37724
200,31612,6
200,1251146,1331
200,1251148,6
201,1811934,34465
201,31612,6
201,1251146,1334
201,1251148,6
202,1811934,34201
202,31612,6
202,1251146,1334
202,1251148,6
203,1811934,35347
203,31612,6
203,1251146,1331
203,1251148,6
204,1811934,33414
204,31612,6
204,1251146,1334
204,1251148,6
205,1811934,34468
205,31612,6
205,1251146,1334
205,1251148,6
206,1811934,34367
206,31612,6
206,1251146,1331
206,1251148,6
207,1811934,33610
207,31612,6
207,1251146,1331
207,1251148,6
208,1811934,34937
208,31612,6
208,1251146,1331
208,1251148,6
209,1811934,35030
209,31612,6
209,1251146,1334
209,1251148,6
210,1811934,35100
210,31612,6
210,1251146,1334
210,1251148,6
211,1811934,35105
211,1251146,1334
211,1251148,6
211,31612,6
211,1811931,3
211,1811942,3
211,1811940,3
211,1811943,3
212,1811934,34486
212,31612,6
212,1251146,1334
212,1251148,6
213,1811934,36392
213,31612,6
213,1251146,2668
213,1251148,12
214,1811934,36610
214,31612,6
214,8388611,2
214,1251146,839
215,1811934,35350
215,1251146,1826
215,1251148,12
215,31612,6
216,1811934,34709
216,31612,6
216,1251146,1331
216,1251148,6
217,1811934,36813
217,31612,6
217,1251146,1331
217,1251148,6
218,1811934,35946
218,31612,6
218,1251146,1331
218,1251148,6
219,1811934,36804
219,31612,6
219,1251146,1334
219,1251148,6
219,1251152,1331
219,1251155,6
220,1811934,37995
220,31612,6
220,1251146,1331
220,1251148,6
221,1811934,35801
221,31612,6
221,1251146,1334
221,1251148,9
222,1811934,35884
222,31612,6
222,1251146,1331
222,1251148,8
223,1811934,36243
223,31612,6
223,1251146,2662
223,1251148,12
224,1811934,34720
224,31612,6
224,1251146,1331
224,1251148,6
225,1811934,37567
225,31612,6
225,1251146,1334
225,1251148,6
226,1811934,36668
226,31612,6
226,1251152,3
226,1251155,3
226,1251146,1331
226,1251148,6
227,1811934,34625
227,31612,6
227,1251146,1334
227,1251148,6
228,1811934,36080
228,31612,6
228,1251146,1334
228,1251148,6
229,1811934,7993
229,31612,6
229,1811931,28
229,1811936,23860
229,1811944,30388
229,1251146,1340
229,1251148,6
229,1251152,1337
229,1251155,8
229,8388611,12
229,1811940,8
229,1811942,3
229,1811938,3
229,1811935,3
229,1811939,3
230,1811936,30131
230,31612,6
230,8388611,1
230,1251146,1331
230,1251148,6
231,1811936,28389
231,31612,6
231,1251146,1331
231,1251148,6
232,1811936,28484
232,31612,6
232,1251146,1334
232,1251148,6
233,1811936,28516
233,31612,6
233,1251146,1331
233,1251148,6
234,1811936,28959
234,31612,6
234,8388611,26
235,1811936,27914
235,31612,6
235,1251146,1331
235,1251148,6
236,1811936,26839
236,31612,6
236,1251146,1334
236,1251148,6
237,1811936,25759
237,31612,6
237,1251146,1331
237,1251148,6
238,1811936,25441
238,31612,6
238,1251146,1331
238,1251148,11
239,1811936,23675
239,31612,6
239,34128,222
240,1811936,24610
240,34128,120
240,31612,6
240,1251146,1331
240,1251148,6
241,1811936,24254
241,31612,6
241,1251146,1331
241,1251148,6
242,1811936,23452
242,31612,6
242,1251146,1334
242,1251148,6
243,1811936,25094
243,31612,6
244,1811936,26744
244,31612,6
244,1251146,1331
244,1251148,6
245,1811936,26454
245,31612,6
245,1251146,1331
245,1251148,6
246,1811936,25667
246,31612,6
246,1251146,1334
246,1251148,6
247,1811936,27034
247,1811931,3
247,1811944,3
247,1811940,3
247,31612,6
248,1811936,25509
248,1251146,1331
248,1251148,6
248,1251152,1331
248,1251155,6
248,31612,6
249,1811936,26424
249,31612,6
249,1251146,1331
249,1251148,6
249,8388611,4
250,1811936,25287
250,31612,6
250,1251146,1331
250,1251148,6
251,1811936,24367
251,31612,6
251,1251146,1331
251,1251148,6
252,1811936,23669
252,31612,6
252,1251146,3
252,1251148,6
253,1811936,24307
253,31612,6
253,1251146,1334
253,1251148,8
254,1811936,26869
254,31612,6
254,1251146,1331
254,1251148,6
254,8388611,4
255,1811936,25162
255,31612,6
255,1251146,1331
255,1251148,6
256,1811936,25409
256,31612,6
257,1811936,25797
257,1251146,1331
257,1251148,6
257,31612,6
258,1811936,24174
258,31612,6
258,1251146,1334
258,1251148,6
259,1811936,23547
259,31612,6
259,1251146,1331
259,1251148,6
260,1811936,24589
260,31612,6
261,1811936,27024
261,1251146,1331
261,1251148,6
261,31612,6
262,1811936,24411
262,31612,6
262,1251146,1331
262,1251148,6
262,1251152,3
262,1251155,3
263,1811936,26174
263,31612,6
263,34128,120
263,1251146,1331
263,1251148,6
264,1811936,26584
264,31612,6
264,34128,252
264,1251146,1334
264,1251148,6
265,1811936,23227
265,31612,6
265,34128,180
265,8388611,1
266,1811936,23357
266,34128,180
266,31612,6
266,1251146,1334
266,1251148,6
267,1811936,25833
267,34128,330
267,31612,6
267,1251146,1334
267,1251148,6
268,1811936,27024
268,34128,276
268,31612,6
268,1251146,1331
268,1251148,6
269,1811936,24942
269,34128,120
269,31612,6
269,8388611,10
270,1811936,27944
270,1251146,1331
270,1251148,6
270,31612,6
271,1811936,28671
271,31612,6
271,1251146,1331
271,1251148,6
272,1811936,27735
272,31612,6
272,1251146,1331
272,1251148,6
273,1811936,27919
273,31612,6
273,1251146,1331
273,1251148,6
274,1811936,29936
274,31612,6
274,1251146,1331
274,1251148,6
275,1811936,28329
275,31612,6
275,1251146,1331
275,1251148,6
276,1811936,29461
276,31612,6
277,1811936,28340
277,1251146,1331
277,1251148,6
277,1251152,1334
277,1251155,8
277,31612,6
278,1811936,26079
278,31612,6
278,1251146,1334
278,1251148,6
279,1811936,27629
279,31612,6
279,1251146,1334
279,1251148,6
279,8388611,6
280,1811936,29971
280,31612,6
280,1251146,1334
280,1251148,6
281,1811936,29176
281,31612,6
281,1251146,1331
281,1251148,6
282,1811936,32457
282,31612,6
282,1251146,1331
282,1251148,6
283,1811936,30096
283,31612,6
283,1251146,1334
283,1251148,6
284,1811936,1321
284,1811931,28
284,1811934,23983
284,1811935,30418
284,31612,6
284,8388611,10
284,1811940,8
284,1251152,1331
284,1251155,6
284,1251146,1331
284,1251148,6
285,1811934,22817
285,31612,6
286,1811934,23227
286,31612,6
286,1251146,1331
286,1251148,6
287,1811934,22850
287,31612,6
287,1251146,1331
287,1251148,6
288,1811934,23547
288,1251146,3
288,1251148,3
288,31612,6
289,1811934,22232
289,31612,6
289,1251146,1334
289,1251148,8
289,8388611,4
290,1811934,22892
290,31612,6
290,1251146,1334
290,1251148,6
291,1811934,22407
291,31612,6
292,1811934,22592
292,31612,6
292,1251146,1334
292,1251148,6
293,1811934,23292
293,31612,6
293,1251146,1331
293,1251148,6
294,1811934,23292
294,31612,6
295,1811934,23167
295,31612,6
295,1251146,1331
295,1251148,6
296,1811934,21300
296,31612,6
296,1251146,1334
296,1251148,6
297,1811934,22372
297,31612,6
298,1811934,22817
298,1251146,1331
298,1251148,6
298,31612,6
298,34128,66
299,1811934,21835
299,34128,312
299,31612,6
299,1251146,1331
299,1251148,6
300,1811934,22057
300,34128,276
300,31612,6
300,8388611,1
301,1811934,22022
301,34128,156
301,1251146,1331
301,1251148,6
301,31612,6
302,1811934,21133
302,34128,246
302,31612,6
302,1251146,1331
302,1251148,6
303,1811934,23255
303,34128,168
303,31612,6
303,1811931,3
303,1811935,3
303,1811940,3
303,1251146,1331
303,1251148,6
304,1811934,21071
304,34128,210
304,31612,6
304,8388611,10
305,1811934,22630
305,34128,294
305,31612,6
305,1251146,1334
305,1251148,6
306,1811934,22019
306,34128,120
306,31612,6
307,1811934,22752
307,1251146,1331
307,1251148,6
307,31612,6
308,1811934,22817
308,31612,6
308,1251146,1334
308,1251148,6
308,1251152,3
308,1251155,3
309,1811934,22120
309,31612,6
309,1251146,1331
309,1251148,6
310,1811934,23764
310,31612,6
311,1811934,24182
311,31612,6
311,1251146,1331
311,1251148,6
311,1251152,1334
311,1251155,8
312,1811934,24877
312,31612,6
312,1251146,1331
312,1251148,6
313,1811934,24299
313,31612,6
313,1251146,1331
313,1251148,11
314,1811934,24182
314,31612,6
314,8388611,6
315,1811934,24147
315,31612,6
315,1251146,1331
315,1251148,6
316,1811934,23662
316,31612,6
316,1251146,1331
316,1251148,6
317,1811934,24252
317,31612,6
318,1811934,24502
318,1251146,1331
318,1251148,6
318,31612,6
319,1811934,23862
319,31612,6
319,1251146,1331
319,1251148,6
320,1811934,24557
320,31612,6
320,1251146,1331
320,1251148,6
321,1811934,23767
321,31612,6
322,1811934,26074
322,1251146,1331
322,1251148,6
322,31612,6
323,1811934,27949
323,31612,6
323,1251146,1334
323,1251148,12
324,1811934,27219
324,31612,6
324,8388611,4
324,1251146,1331
324,1251148,8
325,1811934,25059
325,31612,6
325,1251146,1331
325,1251148,6
326,1811934,25637
326,31612,6
327,1811934,24619
327,31612,6
327,1251146,1331
327,1251148,6
328,1811934,24972
328,31612,6
328,1251146,1331
328,1251148,6
329,1811934,24402
329,31612,6
329,1251146,1334
329,1251148,6
330,1811934,24999
330,31612,6
331,1811934,23262
331,1251146,1334
331,1251148,6
331,31612,6
331,34128,72
332,1811934,21862
332,34128,252
332,31612,6
332,1251146,1331
332,1251148,6
332,32424,12
333,1811934,22380
333,34128,120
333,31612,6
333,32424,12
333,1251146,1334
333,1251148,6
334,1811934,23292
334,31612,6
334,34128,174
334,8388611,1
335,1811934,24649
335,34128,120
335,31612,6
335,1251146,1334
335,1251148,6
336,1811934,22630
336,31612,6
336,34128,102
336,1251146,1334
336,1251148,6
337,1811934,21864
337,34128,276
337,31612,6
338,1811934,22527
338,34128,132
338,31612,6
338,1251146,1334
338,1251148,6
339,1811934,24757
339,34128,138
339,31612,6
339,8388611,10
339,1251146,1331
339,1251148,6
340,1811934,25634
340,34128,42
340,31612,6
340,1251146,1334
340,1251148,6
341,1811934,23322
341,31612,6
342,1811934,23322
342,31612,6
342,1251146,1334
342,1251148,6
342,1251152,1334
342,1251155,6
342,34128,84
343,1811934,22722
343,34128,246
343,31612,6
343,1251146,1334
343,1251148,6
344,34128,168
344,1811934,22942
344,31612,6
344,8388611,6
344,1251152,3
344,1251155,3
345,1811934,22095
345,34128,204
345,31612,6
345,1251146,1334
345,1251148,6
346,1811934,10872
346,34128,216
346,31612,6
346,1811931,28
346,1811936,9989
346,1811938,30433
346,1251146,1331
346,1251148,6
346,1251152,1331
346,1251155,8
346,8388611,12
346,1811940,8
347,1811936,17762
347,34128,216
347,31612,6
347,44832,6
347,68,3
347,112,6
347,307540,68
347,300421,8
347,8388611,8
347,44856,6
347,45782,6
348,34128,234
348,1811936,20125
348,31612,6
348,307540,3
348,1251146,1334
348,1251148,6
349,1811936,18415
349,34128,288
349,31612,6
350,1811936,17753
350,34128,288
350,31612,6
350,1251146,1334
350,1251148,6
351,1811936,19905
351,34128,216
351,31612,6
351,1251146,1334
351,1251148,6
352,1811936,19525
352,34128,114
352,31612,6
353,1811936,22627
353,34128,12
353,300421,3
353,307540,3
353,32424,18
353,31612,6
353,1251146,1331
353,1251148,6
354,1811936,22592
354,31612,6
354,1251146,1337
354,1251148,11
355,1811936,20605
355,31612,6
356,1811936,20950
356,31612,6
356,1251146,1331
356,1251148,6
357,1811936,20119
357,31612,6
358,1811936,20825
358,31612,6
358,1251146,1334
358,1251148,6
359,1811936,21140
359,31612,6
359,34128,18
360,1811936,20187
360,34128,18
360,31612,6
360,1251146,1334
360,1251148,6
361,1811936,19935
361,31612,6
361,34128,42
362,1811936,21035
362,34128,6
362,1251146,1334
362,1251148,6
362,31612,6
363,1811936,20245
363,31612,6
363,1251146,1331
363,1251148,6
364,1811936,20887
364,31612,6
364,34128,48
365,1811936,19333
365,31612,6
365,1251146,1331
365,1251148,6
365,34128,36
365,44862,6
365,1249642,3
366,1811936,20127
366,31612,6
366,34128,12
366,1251146,1334
366,1251148,6
366,1251152,1337
366,1251155,6
367,1811936,19840
367,31612,6
367,8388611,2
368,1811936,20760
368,31612,6
368,1251146,1331
368,1251148,6
368,34128,36
369,1811936,20130
369,34128,114
369,31612,6
369,1811931,3
369,8388611,1
369,1811938,3
369,1811940,3
370,1811936,20947
370,1251146,1331
370,1251148,6
370,31612,6
371,1811936,21021
371,31612,6
371,1251146,1331
371,1251148,6
372,1811936,20879
372,31612,6
372,8388611,8
373,1811936,21107
373,31612,6
373,1251146,1334
373,1251148,6
374,1811936,22090
374,31612,6
374,1251146,1331
374,34128,6
374,1251148,6
375,1811936,20852
375,31612,6
375,34128,72
376,1811936,20885
376,34128,78
376,31612,6
376,1251146,1334
376,1251148,6
377,1811936,20095
377,34128,24
377,31612,6
377,1287620,3
377,8388611,4
377,1251146,1331
377,1251148,6
378,1811936,22467
378,31612,6
378,34128,42
379,1811936,19745
379,34128,192
379,31612,6
379,1251146,1331
379,1251148,6
380,1811936,19975
380,31612,6
380,1251152,3
380,1251155,3
381,1811936,20852
381,1251146,1331
381,1251148,6
381,31612,6
382,1811936,21235
382,31612,6
382,34128,198
382,1251146,1331
382,1251148,6
382,8388611,2
383,1811936,20665
383,34128,186
383,31612,6
384,1811936,20122
384,34128,162
384,32769,3
384,1251146,1331
384,1251148,6
384,31612,6
384,32770,3
385,1811936,21270
385,34128,132
385,31612,6
385,1251146,1334
385,1251148,11
386,1811936,19935
386,31612,6
386,34128,372
387,1811936,20125
387,31612,6
387,34128,174
387,1251146,1331
387,1251148,6
387,1251151,14
387,4609,6
388,1811936,19240
388,34128,282
388,31612,6
389,1811936,21452
389,34128,120
389,31612,6
389,1251146,1331
389,1251148,6
390,1811936,20125
390,31612,6
390,1251146,1334
390,1251148,6
391,1811936,22472
391,31612,6
391,301013,5
391,8388611,22
391,299829,3
391,302462,69
391,300421,8
392,1811936,23257
392,31612,6
